city,state,2018_estimate,2010_census,change,2016_land_area1,2016_land_area2,2016_pop_den1,2016_pop_den2,loc
Hartford, Connecticut,"122,587","124,775",−1.75%,17.4 sq mi,45.1 km2,"7,083/sq mi","2,735/km2",41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W﻿ / 41.7659; -72.6816﻿ (Hartford)
Victorville, California,"122,312","115,903",+5.53%,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2,34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W﻿ / 34.5277; -117.3536﻿ (Victorville)
Pearland, Texas,"122,149","91,252",+33.86%,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2,29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W﻿ / 29.5558; -95.3231﻿ (Pearland)
Vallejo, California,"121,913","115,942",+5.15%,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2",38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W﻿ / 38.1079; -122.2640﻿ (Vallejo)
Ann Arbor, Michigan,"121,890","113,934",+6.98%,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2",42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W﻿ / 42.2761; -83.7309﻿ (Ann Arbor)
Berkeley, California,"121,643","112,580",+8.05%,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2",37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W﻿ / 37.8670; -122.2991﻿ (Berkeley)
Allentown, Pennsylvania,"121,433","118,032",+2.88%,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2",40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W﻿ / 40.5936; -75.4784﻿ (Allentown)
Richardson, Texas,"120,981","99,223",+21.93%,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2",32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W﻿ / 32.9723; -96.7081﻿ (Richardson)
Odessa, Texas,"120,568","99,940",+20.64%,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2",31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W﻿ / 31.8838; -102.3411﻿ (Odessa)
Arvada, Colorado,"120,492","106,433",+13.21%,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2",39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W﻿ / 39.8337; -105.1503﻿ (Arvada)
Cambridge, Massachusetts,"118,977","105,162",+13.14%,6.4 sq mi,16.6 km2,"17,289/sq mi","6,675/km2",42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W﻿ / 42.3760; -71.1187﻿ (Cambridge)
Sugar Land, Texas,"118,600","78,817",+50.48%,34.0 sq mi,88.1 km2,"3,488/sq mi","1,347/km2",29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W﻿ / 29.5994; -95.6142﻿ (Sugar Land)
Beaumont, Texas,"118,428","118,296",+0.11%,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2,30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W﻿ / 30.0849; -94.1453﻿ (Beaumont)
Lansing, Michigan,"118,427","114,297",+3.61%,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2",42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W﻿ / 42.7143; -84.5593﻿ (Lansing)
Evansville, Indiana,"117,963","117,429",+0.45%,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2,37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W﻿ / 37.9877; -87.5347﻿ (Evansville)
Rochester, Minnesota,"116,961","106,769",+9.55%,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2,44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W﻿ / 44.0154; -92.4772﻿ (Rochester)
Independence, Missouri,"116,925","116,830",+0.08%,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2,39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W﻿ / 39.0855; -94.3521﻿ (Independence)
Fairfield, California,"116,884","105,321",+10.98%,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2",38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W﻿ / 38.2593; -122.0321﻿ (Fairfield)
Provo, Utah,"116,702","112,488",+3.75%,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2",40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W﻿ / 40.2453; -111.6448﻿ (Provo)
Clearwater, Florida,"116,478","107,685",+8.17%,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2",27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W﻿ / 27.9789; -82.7666﻿ (Clearwater)
College Station, Texas,"116,218","93,857",+23.82%,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W﻿ / 30.5852; -96.2964﻿ (College Station)
West Jordan, Utah,"116,046","103,712",+11.89%,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W﻿ / 40.6024; -112.0008﻿ (West Jordan)
Carlsbad, California,"115,877","105,328",+10.02%,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W﻿ / 33.1239; -117.2828﻿ (Carlsbad)
El Monte, California,"115,586","113,475",+1.86%,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W﻿ / 34.0746; -118.0291﻿ (El Monte)
Murrieta, California,"114,985","103,466",+11.13%,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W﻿ / 33.5721; -117.1904﻿ (Murrieta)
Temecula, California,"114,742","100,097",+14.63%,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W﻿ / 33.4931; -117.1317﻿ (Temecula)
Springfield, Illinois,"114,694","116,250",−1.34%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W﻿ / 39.7911; -89.6446﻿ (Springfield)
Palm Bay, Florida,"114,194","103,190",+10.66%,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ / 27.9856; -80.6626﻿ (Palm Bay)
Costa Mesa, California,"113,615","109,960",+3.32%,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W﻿ / 33.6659; -117.9123﻿ (Costa Mesa)
Westminster, Colorado,"113,479","106,114",+6.94%,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ / 39.8822; -105.0644﻿ (Westminster)
North Charleston, South Carolina,"113,237","97,471",+16.18%,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ / 32.9178; -80.0650﻿ (North Charleston)
Miami Gardens, Florida,"113,069","107,167",+5.51%,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W﻿ / 25.9489; -80.2436﻿ (Miami Gardens)
Manchester, New Hampshire,"112,525","109,565",+2.70%,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ / 42.9849; -71.4441﻿ (Manchester)
High Point, North Carolina,"112,316","104,371",+7.61%,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ / 35.9900; -79.9905﻿ (High Point)
Downey, California,"112,269","111,772",+0.44%,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W﻿ / 33.9382; -118.1309﻿ (Downey)
Clovis, California,"112,022","95,631",+17.14%,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ / 36.8282; -119.6849﻿ (Clovis)
Pompano Beach, Florida,"111,954","99,845",+12.13%,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ / 26.2416; -80.1339﻿ (Pompano Beach)
Pueblo, Colorado,"111,750","106,595",+4.84%,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ / 38.2699; -104.6123﻿ (Pueblo)
Elgin, Illinois,"111,683","108,188",+3.23%,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ / 42.0396; -88.3217﻿ (Elgin)
Lowell, Massachusetts,"111,670","106,519",+4.84%,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ / 42.6390; -71.3211﻿ (Lowell)
Antioch, California,"111,535","102,372",+8.95%,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ / 37.9791; -121.7962﻿ (Antioch)
West Palm Beach, Florida,"111,398","99,919",+11.49%,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ / 26.7464; -80.1251﻿ (West Palm Beach)
Peoria, Illinois,"111,388","115,007",−3.15%,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W﻿ / 40.7515; -89.6174﻿ (Peoria)
Everett, Washington,"111,262","103,019",+8.00%,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ / 47.9566; -122.1914﻿ (Everett)
Ventura, California,"111,128","106,433",+4.41%,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ / 34.2678; -119.2542﻿ (Ventura)
Centennial, Colorado,"110,831","100,377",+10.41%,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ / 39.5906; -104.8691﻿ (Centennial)
Lakeland, Florida,"110,516","97,422",+13.44%,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ / 28.0555; -81.9549﻿ (Lakeland)
Gresham, Oregon,"110,158","105,594",+4.32%,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ / 45.5023; -122.4416﻿ (Gresham)
Richmond, California,"110,146","103,701",+6.21%,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ / 37.9523; -122.3606﻿ (Richmond)
Billings, Montana,"109,550","104,170",+5.16%,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ / 45.7885; -108.5499﻿ (Billings)
Inglewood, California,"109,419","109,673",−0.23%,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ / 33.9561; -118.3443﻿ (Inglewood)
Broken Arrow, Oklahoma,"109,171","98,850",+10.44%,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ / 36.0365; -95.7810﻿ (Broken Arrow)
Sandy Springs, Georgia,"108,797","93,853",+15.92%,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W﻿ / 33.9315; -84.3687﻿ (Sandy Springs)
Jurupa Valley, California,"108,393",0,NA[ab],42.9 sq mi,111.1 km2,"2,414/sq mi",932/km2,34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W﻿ / 34.0026; -117.4676﻿ (Jurupa Valley)
Hillsboro, Oregon,"108,389","91,611",+18.31%,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ / 45.5280; -122.9357﻿ (Hillsboro)
Waterbury, Connecticut,"108,093","110,366",−2.06%,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ / 41.5585; -73.0367﻿ (Waterbury)
Santa Maria, California,"107,408","99,553",+7.89%,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ / 34.9332; -120.4438﻿ (Santa Maria)
Boulder, Colorado,"107,353","97,385",+10.24%,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ / 40.0270; -105.2519﻿ (Boulder)
Greeley, Colorado,"107,348","92,889",+15.57%,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W﻿ / 40.4153; -104.7697﻿ (Greeley)
Daly City, California,"107,008","101,123",+5.82%,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ / 37.7009; -122.4650﻿ (Daly City)
Meridian, Idaho,"106,804","75,092",+42.23%,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W﻿ / 43.6142; -116.3989﻿ (Meridian)
Lewisville, Texas,"106,586","95,290",+11.85%,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W﻿ / 33.0466; -96.9818﻿ (Lewisville)
Davie, Florida,"106,558","91,992",+15.83%,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W﻿ / 26.0791; -80.2850﻿ (Davie)
West Covina, California,"106,311","106,098",+0.20%,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ / 34.0559; -117.9099﻿ (West Covina)
League City, Texas,"106,244","83,560",+27.15%,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W﻿ / 29.4901; -95.1091﻿ (League City)
Tyler, Texas,"105,729","96,900",+9.11%,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W﻿ / 32.3173; -95.3059﻿ (Tyler)
Norwalk, California,"105,120","105,549",−0.41%,9.7 sq mi,25.1 km2,"10,946/sq mi","4,226/km2",33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W﻿ / 33.9076; -118.0835﻿ (Norwalk)
San Mateo, California,"105,025","97,207",+8.04%,12.1 sq mi,31.3 km2,"8,592/sq mi","3,317/km2",37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W﻿ / 37.5603; -122.3106﻿ (San Mateo)
Green Bay, Wisconsin,"104,879","104,057",+0.79%,45.4 sq mi,117.6 km2,"2,316/sq mi",894/km2,44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W﻿ / 44.5207; -87.9842﻿ (Green Bay)
Wichita Falls, Texas,"104,576","104,553",+0.02%,72.2 sq mi,187.0 km2,"1,450/sq mi",560/km2,33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W﻿ / 33.9067; -98.5259﻿ (Wichita Falls)
Sparks, Nevada,"104,246","90,264",+15.49%,35.9 sq mi,93.0 km2,"2,810/sq mi","1,080/km2",39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W﻿ / 39.5544; -119.7356﻿ (Sparks)
Lakewood, New Jersey,"104,157","92,843",+12.19%,24.7 sq mi,64.0 km2,"4,079/sq mi","1,575/km2",40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W﻿ / 40.0771; -74.2004﻿ (Lakewood)
Burbank, California,"103,695","103,340",+0.34%,17.4 sq mi,45.1 km2,"6,003/sq mi","2,318/km2",34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W﻿ / 34.1901; -118.3264﻿ (Burbank)
Rialto, California,"103,440","99,171",+4.30%,22.3 sq mi,57.8 km2,"4,633/sq mi","1,789/km2",34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W﻿ / 34.1118; -117.3883﻿ (Rialto)
Allen, Texas,"103,383","84,246",+22.72%,27.1 sq mi,70.2 km2,"3,715/sq mi","1,434/km2",33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W﻿ / 33.0997; -96.6631﻿ (Allen)
El Cajon, California,"103,241","99,478",+3.78%,14.5 sq mi,37.6 km2,"7,156/sq mi","2,763/km2",32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W﻿ / 32.8017; -116.9604﻿ (El Cajon)
Las Cruces, New Mexico,"102,926","97,618",+5.44%,76.9 sq mi,199.2 km2,"1,323/sq mi",511/km2,32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W﻿ / 32.3264; -106.7897﻿ (Las Cruces)
Renton, Washington,"102,153","90,927",+12.35%,23.4 sq mi,60.6 km2,"4,314/sq mi","1,666/km2",47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W﻿ / 47.4761; -122.1920﻿ (Renton)
Davenport, Iowa,"102,085","99,685",+2.41%,62.9 sq mi,162.9 km2,"1,631/sq mi",630/km2,41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W﻿ / 41.5541; -90.6040﻿ (Davenport)
South Bend, Indiana,"101,860","101,168",+0.68%,41.4 sq mi,107.2 km2,"2,457/sq mi",949/km2,41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W﻿ / 41.6769; -86.2690﻿ (South Bend)
Vista, California,"101,224","93,834",+7.88%,18.7 sq mi,48.4 km2,"5,436/sq mi","2,099/km2",33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W﻿ / 33.1895; -117.2386﻿ (Vista)
Tuscaloosa, Alabama,"101,113","90,468",+11.77%,71.7 sq mi,185.7 km2,"1,399/sq mi",540/km2,33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W﻿ / 33.2065; -87.5346﻿ (Tuscaloosa)
Clinton, Michigan,"100,800","96,796",+4.14%,28.1 sq mi,72.8 km2,"3,573/sq mi","1,380/km2",42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W﻿ / 42.5903; -82.9170﻿ (Clinton)
Edison, New Jersey,"100,693","99,967",+0.73%,30.1 sq mi,78.0 km2,"3,389/sq mi","1,309/km2",40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W﻿ / 40.5040; -74.3494﻿ (Edison)
Woodbridge, New Jersey,"100,450","99,585",+0.87%,23.3 sq mi,60.3 km2,"4,351/sq mi","1,680/km2",40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W﻿ / 40.5607; -74.2927﻿ (Woodbridge)
San Angelo, Texas,"100,215","93,200",+7.53%,59.9 sq mi,155.1 km2,"1,681/sq mi",649/km2,31°26′28″N 100°27′02″W﻿ / ﻿31.4411°N 100.4505°W﻿ / 31.4411; -100.4505﻿ (San Angelo)
Kenosha, Wisconsin,"100,164","99,218",+0.95%,28.0 sq mi,72.5 km2,"3,577/sq mi","1,381/km2",42°34′56″N 87°50′44″W﻿ / ﻿42.5822°N 87.8456°W﻿ / 42.5822; -87.8456﻿ (Kenosha)
Vacaville, California,"100,154","92,428",+8.36%,29.0 sq mi,75.1 km2,"3,449/sq mi","1,332/km2",38°21′14″N 121°58′22″W﻿ / ﻿38.3539°N 121.9728°W﻿ / 38.3539; -121.9728﻿ (Vacaville)
